Date,Open
01/02/2013,79117142
01/03/2013,7826857
01/04/2013,76709999
01/07/2013,74571426
01/08/2013,75601425
01/09/2013,7464286
01/10/2013,75507141
01/11/2013,74428574
1/14/2013,71811432
1/15/2013,71185715
1/16/2013,70662857
1/17/2013,72901428
1/18/2013,7121714
1/22/2013,72080002
1/23/2013,72687141
1/24/2013,65714287
1/25/2013,64527145
1/28/2013,62547142
1/29/2013,655
1/30/2013,65285713
1/31/2013,6528286
02/01/2013,65587143
02/04/2013,64844284
02/05/2013,63435715
02/06/2013,65209999
02/07/2013,66178574
02/08/2013,67714287
02/11/2013,68071426
02/12/2013,68501427
2/13/2013,66744286
2/14/2013,66360001
2/15/2013,66978569
2/19/2013,65871429
2/20/2013,65384285
2/21/2013,63714287
2/22/2013,64178574
2/25/2013,64835716
2/26/2013,63402859
2/27/2013,64061432
2/28/2013,63435715
03/01/2013,6257143
03/04/2013,61114285
03/05/2013,6021143
03/06/2013,62072857
03/07/2013,60642857
03/08/2013,61400002
03/11/2013,61392857
03/12/2013,62228573
3/13/2013,61207142
3/14/2013,61832859
3/15/2013,62561428
3/18/2013,63064285
3/19/2013,6564286
3/20/2013,65345711
3/21/2013,64317146
3/22/2013,64940002
3/25/2013,66384285
3/26/2013,66491432
3/27/2013,65208572
3/28/2013,64260002
04/01/2013,63128571
04/02/2013,61085712
04/03/2013,61624287
04/04/2013,61965714
04/05/2013,60642857
04/08/2013,60692856
04/09/2013,60908573
04/10/2013,61157143
04/11/2013,61959999
04/12/2013,62021427
4/15/2013,61
4/16/2013,60224285
4/17/2013,6003857
4/18/2013,57855713
4/19/2013,55424286
4/22/2013,56091427
4/23/2013,57712856
4/24/2013,56220001
4/25/2013,58747143
4/26/2013,58544285
4/29/2013,60064285
4/30/2013,62157143
05/01/2013,63494286
05/02/2013,63111427
05/03/2013,64472855
05/06/2013,65101425
05/07/2013,66424286
05/08/2013,65577141
05/09/2013,65687141
05/10/2013,65424286
5/13/2013,64501427
5/14/2013,64835716
5/15/2013,62737144
5/16/2013,60462856
5/17/2013,62721428
5/20/2013,61701427
5/21/2013,62592857
5/22/2013,63435715
5/23/2013,62278572
5/24/2013,62978573
5/28/2013,64271431
5/29/2013,62857143
5/30/2013,63664288
5/31/2013,6464286
06/03/2013,64389999
06/04/2013,64745712
06/05/2013,63664288
06/06/2013,63638573
06/07/2013,62357143
06/10/2013,63532856
06/11/2013,62248573
06/12/2013,62785713
6/13/2013,61785713
6/14/2013,62200001
6/17/2013,61634285
6/18/2013,61651428
6/19/2013,61628571
6/20/2013,59900002
6/21/2013,59784286
6/24/2013,58200001
6/25/2013,57957142
6/26/2013,57700001
6/27/2013,57035713
6/28/2013,55908573
07/01/2013,57527142
07/02/2013,58565716
07/03/2013,60122856
07/05/2013,60055714
07/08/2013,60015713
07/09/2013,59085712
07/10/2013,59942856
07/11/2013,60421429
07/12/2013,61092857
7/15/2013,60715714
7/16/2013,60931427
7/17/2013,61385715
7/18/2013,6191143
7/19/2013,61871429
7/22/2013,61351429
7/23/2013,60857143
7/24/2013,62704285
7/25/2013,62957142
7/26/2013,62185715
7/29/2013,62971428
7/30/2013,64279999
7/31/2013,64998573
08/01/2013,6510714
08/02/2013,6543
08/05/2013,66384285
08/06/2013,66860001
08/07/2013,66257141
08/08/2013,66265717
08/09/2013,65519997
08/12/2013,65265717
8/13/2013,67277145
8/14/2013,71125717
8/15/2013,70917145
8/16/2013,71449997
8/19/2013,72048569
8/20/2013,72815712
8/21/2013,71941429
8/22/2013,72139999
8/23/2013,71895714
8/26/2013,71535713
8/27/2013,7114286
8/28/2013,69428574
8/29/2013,70235718
8/30/2013,70285713
09/03/2013,70442856
09/04/2013,71365715
09/05/2013,71464287
09/06/2013,71205711
09/09/2013,7214286
09/10/2013,72314285
09/11/2013,66715714
09/12/2013,66928574
9/13/2013,67048569
9/16/2013,6585714
9/17/2013,63994286
9/18/2013,66168571
9/19/2013,67242859
9/20/2013,68285713
9/23/2013,70871429
9/24/2013,70697144
9/25/2013,69885712
9/26/2013,69428574
9/27/2013,69111427
9/30/2013,68178574
10/01/2013,68349998
10/02/2013,69375717
10/03/2013,70072861
10/04/2013,69122856
10/07/2013,69508568
10/08/2013,69991432
10/09/2013,69234283
10/10/2013,70188568
10/11/2013,6957
10/14/2013,69975716
10/15/2013,71072861
10/16/2013,71541428
10/17/2013,71425713
10/18/2013,72284286
10/21/2013,73110001
10/22/2013,75201431
10/23/2013,7414286
10/24/2013,75
10/25/2013,75902855
10/28/2013,75577141
10/29/2013,76610001
10/30/2013,74230003
10/31/2013,75
11/01/2013,74860001
11/04/2013,74442856
11/05/2013,74940002
11/06/2013,74878571
11/07/2013,74225716
11/08/2013,73511429
11/11/2013,74284286
11/12/2013,73952858
11/13/2013,74
11/14/2013,74687141
11/15/2013,75225716
11/18/2013,74998573
11/19/2013,74147141
11/20/2013,74175713
11/21/2013,73942856
11/22/2013,7421714
11/25/2013,74431427
11/26/2013,74874283
11/27/2013,76615715
11/29/2013,78497147
12/02/2013,79714287
12/03/2013,79757141
12/04/2013,80785713
12/05/2013,81807144
12/06/2013,80827141
12/09/2013,80128571
12/10/2013,80511429
12/11/2013,81
12/12/2013,80305717
12/13/2013,80407143
12/16/2013,79288574
12/17/2013,79401428
12/18/2013,78528572
12/19/2013,785
12/20/2013,77918571
12/23/2013,8114286
12/24/2013,81412857
12/26/2013,81157143
12/27/2013,80545715
12/30/2013,79637146
12/31/2013,79167145
01/02/2014,79382858
01/03/2014,78980003
01/06/2014,76778572
01/07/2014,77760002
01/08/2014,76972855
01/09/2014,78114288
01/10/2014,77118568
1/13/2014,75701431
1/14/2014,76888573
1/15/2014,79074287
1/16/2014,79271431
1/17/2014,7878286
1/21/2014,77284286
1/22/2014,78701431
1/23/2014,78562859
1/24/2014,7914286
1/27/2014,78581429
1/28/2014,7268
1/29/2014,71992859
1/30/2014,71791428
1/31/2014,70739998
02/03/2014,7180143
02/04/2014,72264282
02/05/2014,72365715
02/06/2014,72865715
02/07/2014,74482857
02/10/2014,74094284
02/11/2014,7580143
02/12/2014,76707146
2/13/2014,76379997
2/14/2014,77495712
2/18/2014,78
2/19/2014,77821426
2/20/2014,76141426
2/21/2014,76112854
2/24/2014,74735718
2/25/2014,75625717
2/26/2014,7480143
2/27/2014,73877144
2/28/2014,75582855
03/03/2014,74774284
03/04/2014,7585714
03/05/2014,75845711
03/06/2014,76112854
03/07/2014,75870003
03/10/2014,75480003
03/11/2014,76492859
03/12/2014,76358574
3/13/2014,76777145
3/14/2014,75541428
3/17/2014,75385712
3/18/2014,75128571
3/19/2014,7603714
3/20/2014,7569857
3/21/2014,75989998
3/24/2014,76917145
3/25/2014,7735714
3/26/2014,78074287
3/27/2014,77145714
3/28/2014,76902855
3/31/2014,7703286
04/01/2014,76822861
04/02/2014,77482857
04/03/2014,77341431
04/04/2014,77115715
04/07/2014,75431427
04/08/2014,75027145
04/09/2014,74662857
04/10/2014,75811432
04/11/2014,7414286
4/14/2014,74557144
4/15/2014,74324287
4/16/2014,74007141
4/17/2014,74285713
4/21/2014,75048569
4/22/2014,75472855
4/23/2014,75580002
4/24/2014,81172859
4/25/2014,80647141
4/28/2014,81828575
4/29/2014,8482
4/30/2014,84662857
05/01/2014,84571426
05/02/2014,84620003
05/05/2014,84305717
05/06/2014,85971428
05/07/2014,85035713
05/08/2014,84035713
05/09/2014,83505714
05/12/2014,83927139
5/13/2014,84571426
5/14/2014,84632858
5/15/2014,84957146
5/16/2014,84089996
5/19/2014,85407143
5/20/2014,86358574
5/21/2014,86261429
5/22/2014,86657143
5/23/2014,8675
5/27/2014,87982857
5/28/2014,89431427
5/29/2014,89692856
5/30/2014,91139999
06/02/2014,90565712
06/03/2014,89779999
06/04/2014,91062859
06/05/2014,92314285
06/06/2014,92842857
06/09/2014,92699997
06/10/2014,94730003
06/11/2014,94129997
06/12/2014,94040001
6/13/2014,92199997
6/16/2014,91510002
6/17/2014,92309998
6/18/2014,92269997
6/19/2014,92290001
6/20/2014,91849998
6/23/2014,9132
6/24/2014,9075
6/25/2014,90209999
6/26/2014,90370003
6/27/2014,9082
6/30/2014,92099998
07/01/2014,93519997
07/02/2014,93870003
07/03/2014,93669998
07/07/2014,94139999
07/08/2014,96269997
07/09/2014,95440002
07/10/2014,93760002
07/11/2014,95360001
7/14/2014,95860001
7/15/2014,96800003
7/16/2014,96970001
7/17/2014,95029999
